==== Model Run Details ====
Dataset: newstitlesentiment
Model type: adadiag
Block sizes: [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
Block config: 3
Activation: relu
Coupling topology: 5
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 1024
Test batch size: 1024
Epochs: 50
Decay epochs: [20, 40]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 16: TrainLoss=0.0817, TestLoss=0.0257, Test RMSE=0.1644
Epoch 17: TrainLoss=0.0219, TestLoss=0.0201, Test RMSE=0.1442
Epoch 18: TrainLoss=0.0230, TestLoss=0.0199, Test RMSE=0.1436
Epoch 19: TrainLoss=0.0208, TestLoss=0.0197, Test RMSE=0.1426
Epoch 20: TrainLoss=0.0218, TestLoss=0.0198, Test RMSE=0.1432
Epoch 21: TrainLoss=0.0190, TestLoss=0.0196, Test RMSE=0.1423
Epoch 22: TrainLoss=0.0189, TestLoss=0.0196, Test RMSE=0.1421
Epoch 23: TrainLoss=0.0188, TestLoss=0.0195, Test RMSE=0.1420
Epoch 24: TrainLoss=0.0188, TestLoss=0.0195, Test RMSE=0.1419
Epoch 25: TrainLoss=0.0189, TestLoss=0.0195, Test RMSE=0.1418
Epoch 26: TrainLoss=0.0188, TestLoss=0.0194, Test RMSE=0.1417
Epoch 27: TrainLoss=0.0188, TestLoss=0.0194, Test RMSE=0.1416
Epoch 28: TrainLoss=0.0188, TestLoss=0.0194, Test RMSE=0.1415
Epoch 29: TrainLoss=0.0187, TestLoss=0.0194, Test RMSE=0.1415
Epoch 30: TrainLoss=0.0186, TestLoss=0.0194, Test RMSE=0.1414
Epoch 31: TrainLoss=0.0187, TestLoss=0.0194, Test RMSE=0.1413
Epoch 32: TrainLoss=0.0188, TestLoss=0.0193, Test RMSE=0.1413
Epoch 33: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1412
Epoch 34: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1412
Epoch 35: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1412
Epoch 36: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1412
Epoch 37: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1411
Epoch 38: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1411
Epoch 39: TrainLoss=0.0186, TestLoss=0.0193, Test RMSE=0.1412
Epoch 40: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1411
Epoch 41: TrainLoss=0.0188, TestLoss=0.0193, Test RMSE=0.1410
Epoch 42: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1410
Epoch 43: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1410
Epoch 44: TrainLoss=0.0186, TestLoss=0.0193, Test RMSE=0.1410
Epoch 45: TrainLoss=0.0186, TestLoss=0.0193, Test RMSE=0.1410
Epoch 46: TrainLoss=0.0186, TestLoss=0.0193, Test RMSE=0.1410
Epoch 47: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1410
Epoch 48: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1410
Epoch 49: TrainLoss=0.0186, TestLoss=0.0193, Test RMSE=0.1410
Epoch 50: TrainLoss=0.0187, TestLoss=0.0193, Test RMSE=0.1410
Trial 2/3: FinalEpochScore=0.1410, BestEpochScore=0.1410

--- Trial 3/3 ---
Epoch 1: TrainLoss=0.1624, TestLoss=0.0471, Test RMSE=0.2251
Epoch 2: TrainLoss=0.0272, TestLoss=0.0275, Test RMSE=0.1703
Epoch 3: TrainLoss=0.0720, TestLoss=0.0300, Test RMSE=0.1780
Epoch 4: TrainLoss=0.0348, TestLoss=0.0239, Test RMSE=0.1582
Epoch 5: TrainLoss=0.0211, TestLoss=0.0198, Test RMSE=0.1433
