==== Model Run Details ====
Dataset: ieeeppg
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 5
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 50
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 17: TrainLoss=1973.5617, TestLoss=2298.7915, Test RMSE=51.6614
Epoch 18: TrainLoss=1658.1491, TestLoss=1708.7969, Test RMSE=44.6783
Epoch 19: TrainLoss=1402.0959, TestLoss=1384.0367, Test RMSE=40.0647
Epoch 20: TrainLoss=1261.3898, TestLoss=1189.5681, Test RMSE=37.0450
Epoch 21: TrainLoss=1123.6728, TestLoss=747.6941, Test RMSE=29.2932
Epoch 22: TrainLoss=985.6118, TestLoss=983.7101, Test RMSE=33.7217
Epoch 23: TrainLoss=1076.8964, TestLoss=923.0528, Test RMSE=31.1234
Epoch 24: TrainLoss=1107.6408, TestLoss=744.9218, Test RMSE=28.8380
Epoch 25: TrainLoss=944.4915, TestLoss=736.6368, Test RMSE=28.6549
Epoch 26: TrainLoss=879.6877, TestLoss=808.7345, Test RMSE=30.3837
Epoch 27: TrainLoss=823.0005, TestLoss=893.7454, Test RMSE=31.5122
Epoch 28: TrainLoss=809.6750, TestLoss=983.3048, Test RMSE=33.0821
Epoch 29: TrainLoss=826.4632, TestLoss=1008.9334, Test RMSE=33.0217
Epoch 30: TrainLoss=771.2356, TestLoss=804.2753, Test RMSE=30.3784
Epoch 31: TrainLoss=736.9211, TestLoss=926.3235, Test RMSE=32.4537
Epoch 32: TrainLoss=766.4180, TestLoss=878.3191, Test RMSE=31.7812
Epoch 33: TrainLoss=751.7661, TestLoss=852.5000, Test RMSE=31.4572
Epoch 34: TrainLoss=732.9979, TestLoss=955.3072, Test RMSE=32.9987
Epoch 35: TrainLoss=706.7217, TestLoss=961.5713, Test RMSE=33.1407
Epoch 36: TrainLoss=698.6325, TestLoss=853.3010, Test RMSE=31.3123
Epoch 37: TrainLoss=700.4293, TestLoss=911.9332, Test RMSE=32.1374
Epoch 38: TrainLoss=695.6351, TestLoss=978.2917, Test RMSE=33.5800
Epoch 39: TrainLoss=691.1920, TestLoss=949.2417, Test RMSE=33.1311
Epoch 40: TrainLoss=672.2640, TestLoss=854.5876, Test RMSE=31.2352
Epoch 41: TrainLoss=683.9138, TestLoss=1019.1125, Test RMSE=33.9200
Epoch 42: TrainLoss=692.1325, TestLoss=1142.8733, Test RMSE=36.1518
Epoch 43: TrainLoss=692.3627, TestLoss=1039.8501, Test RMSE=33.7553
Epoch 44: TrainLoss=742.9089, TestLoss=973.0131, Test RMSE=33.3885
Epoch 45: TrainLoss=705.4474, TestLoss=1065.0638, Test RMSE=34.4750
Epoch 46: TrainLoss=664.8564, TestLoss=945.1179, Test RMSE=32.7988
Epoch 47: TrainLoss=673.8401, TestLoss=847.6904, Test RMSE=31.1866
Epoch 48: TrainLoss=649.0935, TestLoss=1093.8460, Test RMSE=34.9158
Epoch 49: TrainLoss=668.1843, TestLoss=869.7511, Test RMSE=31.7525
Epoch 50: TrainLoss=660.6122, TestLoss=1111.1355, Test RMSE=35.3261
Trial 2/3: FinalEpochScore=35.3261, BestEpochScore=28.6549

--- Trial 3/3 ---
Epoch 1: TrainLoss=11087.8105, TestLoss=5388.0614, Test RMSE=76.1702
Epoch 2: TrainLoss=5797.0124, TestLoss=5068.8383, Test RMSE=73.4343
Epoch 3: TrainLoss=4917.6849, TestLoss=3929.1695, Test RMSE=67.0366
Epoch 4: TrainLoss=4723.5165, TestLoss=4716.1564, Test RMSE=71.6328
Epoch 5: TrainLoss=4424.4889, TestLoss=4109.5043, Test RMSE=67.4988
